Energy Resolution Panel Ext Data Fig.4;

Bin #;Low bin edge; High bin edge;XSec [μbarn/GeV];XSec error [μbarn/GeV]

12C 1_161 GeV pad (a)
5;-0.552;-0.507;0.022;0.002
6;-0.507;-0.462;0.046;0.004
7;-0.462;-0.417;0.070;0.005
8;-0.417;-0.372;0.073;0.006
9;-0.372;-0.328;0.071;0.005
10;-0.328;-0.283;0.068;0.005
11;-0.283;-0.238;0.065;0.005
12;-0.238;-0.193;0.062;0.005
13;-0.193;-0.148;0.059;0.005
14;-0.148;-0.103;0.057;0.004
15;-0.103;-0.059;0.056;0.004
16;-0.059;-0.047;0.055;0.004
17;-0.047;-0.036;0.055;0.004
18;-0.036;-0.025;0.054;0.004
19;-0.025;-0.014;0.052;0.004
20;-0.014;-0.002;0.050;0.004
21;-0.002;0.009;0.047;0.004
22;0.009;0.020;0.045;0.003
23;0.020;0.031;0.040;0.003
24;0.031;0.042;0.036;0.003
25;0.042;0.054;0.031;0.002
26;0.054;0.065;0.026;0.002
27;0.065;0.076;0.022;0.002
28;0.076;0.087;0.018;0.001
29;0.087;0.098;0.014;0.001
30;0.098;0.110;0.012;0.001
31;0.110;0.121;0.009;0.001
32;0.121;0.132;0.008;0.001

56Fe 2_261 GeV pad (c)
1;-0.721;-0.682;0.019;0.002
2;-0.682;-0.642;0.043;0.003
3;-0.642;-0.602;0.057;0.004
4;-0.602;-0.562;0.065;0.005
5;-0.562;-0.522;0.079;0.005
6;-0.522;-0.483;0.091;0.006
7;-0.483;-0.443;0.100;0.007
8;-0.443;-0.403;0.106;0.007
9;-0.403;-0.363;0.113;0.008
10;-0.363;-0.323;0.114;0.008
11;-0.323;-0.284;0.122;0.008
12;-0.284;-0.244;0.125;0.008
13;-0.244;-0.204;0.132;0.009
14;-0.204;-0.164;0.134;0.009
15;-0.164;-0.124;0.133;0.009
16;-0.124;-0.084;0.132;0.009
17;-0.084;-0.071;0.128;0.009
18;-0.071;-0.058;0.125;0.008
19;-0.058;-0.045;0.137;0.009
20;-0.045;-0.031;0.161;0.011
21;-0.031;-0.018;0.229;0.015
22;-0.018;-0.005;0.392;0.025
23;-0.005;0.008;0.528;0.034
24;0.008;0.022;0.136;0.009
25;0.022;0.035;0.007;0.001
26;0.035;0.048;0.001;0.000
27;0.048;0.061;0.000;0.000

56Fe 4_461 GeV pad (c)
Cross sections scaled by 4
1;-0.731;-0.686;0.002;0.003
2;-0.686;-0.641;0.018;0.005
3;-0.641;-0.597;0.031;0.006
4;-0.597;-0.552;0.049;0.008
5;-0.552;-0.507;0.068;0.009
6;-0.507;-0.462;0.081;0.010
7;-0.462;-0.417;0.075;0.009
8;-0.417;-0.372;0.095;0.009
9;-0.372;-0.328;0.097;0.009
10;-0.328;-0.283;0.097;0.009
11;-0.283;-0.238;0.089;0.008
12;-0.238;-0.193;0.085;0.007
13;-0.193;-0.148;0.071;0.006
14;-0.148;-0.103;0.066;0.006
15;-0.103;-0.059;0.068;0.006
16;-0.059;-0.047;0.065;0.006
17;-0.047;-0.036;0.073;0.007
18;-0.036;-0.025;0.079;0.007
19;-0.025;-0.014;0.119;0.011
20;-0.014;-0.002;0.244;0.020
21;-0.002;0.009;0.232;0.019
22;0.009;0.020;0.049;0.005
23;0.020;0.031;0.005;0.001
24;0.031;0.042;0.001;0.000
25;0.042;0.054;0.001;0.001
26;0.054;0.065;0.000;0.000

56Fe 2_261 GeV pad (d)
1;-0.721;-0.682;0.068;0.004
2;-0.682;-0.642;0.206;0.013
3;-0.642;-0.602;0.233;0.015
4;-0.602;-0.562;0.253;0.016
5;-0.562;-0.522;0.263;0.017
6;-0.522;-0.483;0.287;0.018
7;-0.483;-0.443;0.300;0.019
8;-0.443;-0.403;0.312;0.020
9;-0.403;-0.363;0.316;0.020
10;-0.363;-0.323;0.331;0.021
11;-0.323;-0.284;0.345;0.022
12;-0.284;-0.244;0.351;0.022
13;-0.244;-0.204;0.365;0.023
14;-0.204;-0.164;0.381;0.024
15;-0.164;-0.124;0.395;0.025
16;-0.124;-0.084;0.404;0.026
17;-0.084;-0.071;0.411;0.027
18;-0.071;-0.058;0.422;0.027
19;-0.058;-0.045;0.417;0.027
20;-0.045;-0.031;0.412;0.027
21;-0.031;-0.018;0.412;0.027
22;-0.018;-0.005;0.406;0.026
23;-0.005;0.008;0.384;0.025
24;0.008;0.022;0.369;0.024
25;0.022;0.035;0.342;0.022
26;0.035;0.048;0.314;0.020
27;0.048;0.061;0.284;0.019
28;0.061;0.075;0.240;0.016
29;0.075;0.088;0.204;0.013
30;0.088;0.101;0.161;0.011
31;0.101;0.115;0.128;0.009
32;0.115;0.128;0.107;0.007
33;0.128;0.141;0.085;0.006
34;0.141;0.154;0.067;0.005
35;0.154;0.168;0.048;0.004
36;0.168;0.181;0.027;0.002
37;0.181;0.194;0.016;0.002
38;0.194;0.207;0.008;0.001
39;0.207;0.221;0.002;0.001

56Fe 4_461 GeV pad (d)
Cross sections scaled by 4
1;-0.731;-0.686;0.000;0.000
2;-0.686;-0.641;0.000;0.000
3;-0.641;-0.597;0.000;0.000
4;-0.597;-0.552;0.027;0.004
5;-0.552;-0.507;0.119;0.011
6;-0.507;-0.462;0.249;0.021
7;-0.462;-0.417;0.407;0.032
8;-0.417;-0.372;0.427;0.034
9;-0.372;-0.328;0.396;0.031
10;-0.328;-0.283;0.398;0.031
11;-0.283;-0.238;0.357;0.028
12;-0.238;-0.193;0.341;0.027
13;-0.193;-0.148;0.313;0.025
14;-0.148;-0.103;0.285;0.022
15;-0.103;-0.059;0.264;0.021
16;-0.059;-0.047;0.243;0.021
17;-0.047;-0.036;0.237;0.020
18;-0.036;-0.025;0.225;0.019
19;-0.025;-0.014;0.217;0.019
20;-0.014;-0.002;0.211;0.018
21;-0.002;0.009;0.199;0.017
22;0.009;0.020;0.186;0.016
23;0.020;0.031;0.169;0.015
24;0.031;0.042;0.149;0.013
25;0.042;0.054;0.126;0.011
26;0.054;0.065;0.125;0.012
27;0.065;0.076;0.106;0.010
28;0.076;0.087;0.080;0.008
29;0.087;0.098;0.067;0.007
30;0.098;0.110;0.045;0.006
31;0.110;0.121;0.033;0.005
32;0.121;0.132;0.036;0.005

